x,wave
-197.62,3.7040750904081194e-14 - 3.9540332148653607e-16im
-197.60000000000002,3.714129335452179e-14 - 3.934749001899237e-16im
-197.57999999999998,3.725342671446465e-14 - 3.887696998468963e-16im
-197.56,3.7364195924875375e-14 - 3.924866382701996e-16im
-197.54000000000002,3.748381499666305e-14 - 4.192602535988102e-16im
-197.51999999999998,3.758038980510486e-14 - 4.075322916902734e-16im
-197.5,3.771133339811923e-14 - 4.3291231722077533e-16im
-197.48000000000002,3.781143768346169e-14 - 4.1540395619569603e-16im
-197.46,3.7921472145354126e-14 - 4.3666997715157075e-16im
-197.44,3.802618957778633e-14 - 4.380077478698936e-16im
-197.42000000000002,3.8144923596335986e-14 - 4.420497034745193e-16im
-197.4,3.826855191232165e-14 - 4.730203600253723e-16im
-197.38,3.837183004286186e-14 - 4.570730041000582e-16im
-197.35999999999999,3.849746667146419e-14 - 4.746876352590047e-16im
-197.33999999999997,3.860578135212157e-14 - 4.904012304399716e-16im
-197.32,3.8717457758876335e-14 - 5.002608258394642e-16im
-197.3,3.882991454236789e-14 - 4.963950924536665e-16im
-197.27999999999997,3.8946706006615767e-14 - 5.082209788936081e-16im
-197.26,3.907189843109105e-14 - 5.195943994794482e-16im
-197.24,3.919932730927545e-14 - 5.308045985337133e-16im
-197.22,3.9325579918827363e-14 - 5.288503016756976e-16im
-197.2,3.943014838854627e-14 - 5.363797964801642e-16im
-197.18,3.954278768491177e-14 - 5.319522237165374e-16im
-197.16000000000003,3.967555506465922e-14 - 5.603705937334423e-16im
-197.14,3.98033227994662e-14 - 5.51675188908596e-16im
-197.12,3.9935951952551753e-14 - 5.784494333027188e-16im
-197.10000000000002,4.00577182346212e-14 - 5.58472409519118e-16im
-197.07999999999998,4.017346092084707e-14 - 5.60668435284636e-16im
-197.06,4.0286712172142876e-14 - 6.038369237439659e-16im
-197.04000000000002,4.0428782340436075e-14 - 5.853745639007291e-16im
-197.02,4.058735046472861e-14 - 6.047918451915414e-16im
-197.0,4.0718590641163144e-14 - 5.965340183370071e-16im
-196.98000000000002,4.082321144913266e-14 - 6.053153115731241e-16im
-196.95999999999998,4.093696997885754e-14 - 6.316456034664109e-16im
-196.94,4.111123823632907e-14 - 6.279820517362461e-16im
-196.92,4.123742173255004e-14 - 6.262420145916982e-16im
-196.89999999999998,4.135974964430881e-14 - 6.44498586137032e-16im
-196.88,4.147719332367977e-14 - 6.491587034516824e-16im
-196.86,4.1646698800345053e-14 - 6.450281754229339e-16im
-196.83999999999997,4.176201674153706e-14 - 6.740769529585017e-16im
-196.82,4.189171226857515e-14 - 6.686703026316295e-16im
-196.8,4.204556592429277e-14 - 6.844551499662824e-16im
-196.77999999999997,4.2185577454728326e-14 - 6.573651146850167e-16im
-196.76,4.230541258955061e-14 - 6.946278103023648e-16im
-196.74,4.245418675094541e-14 - 6.906137852064825e-16im
-196.72000000000003,4.260939314914055e-14 - 7.086107623837665e-16im
-196.7,4.273127148874657e-14 - 7.416194234434636e-16im
-196.68,4.287332152694338e-14 - 7.253161422513259e-16im
-196.66000000000003,4.302266738307572e-14 - 7.330957535034579e-16im
-196.64,4.3186693447503215e-14 - 7.446519385894532e-16im
-196.62,4.33023804404624e-14 - 7.525648697924786e-16im
-196.60000000000002,4.3463574871330815e-14 - 7.489834320805111e-16im
-196.58,4.3608198877852896e-14 - 7.854584118634363e-16im
-196.56,4.3762456477504777e-14 - 7.673934956108306e-16im
-196.54,4.390550765249546e-14 - 7.800736530163898e-16im
-196.51999999999998,4.4035431991629204e-14 - 7.818309265559731e-16im
-196.5,4.421055443619095e-14 - 8.039512604151662e-16im
-196.48,4.433273674025249e-14 - 8.123315872937836e-16im
-196.45999999999998,4.451029761049046e-14 - 7.987455755506032e-16im
-196.44,4.4626387205377484e-14 - 8.096555006670273e-16im
-196.42000000000002,4.480287715448744e-14 - 8.199529676007375e-16im
-196.39999999999998,4.49730395432983e-14 - 8.49509988132492e-16im
-196.38,4.5094469652758005e-14 - 8.525967706633372e-16im
-196.36,4.526164272225472e-14 - 8.323328930061566e-16im
-196.34,4.5420047121763263e-14 - 8.755512453917564e-16im
-196.32,4.555569042128185e-14 - 8.615620026552324e-16im
-196.3,4.5714147159041004e-14 - 8.799687950448882e-16im
